,propeller,parent_f_name,parent_t_name,detected_topology,blades_similarity,topology_ration,Superkingdom,Phylum,Class,Order,Genus,Species,Classification,Termini_distance,Protein_coverage
0,RTZ68428.1_#1,DPPIV_N,6-bladed,6,62.5,1.0,Bacteria,Verrucomicrobia,na,na,Verrucomicrobia,Verrucomicrobia bacterium,Complete,54,19.099378881987576
1,PYK27766.1_#1,DPPIV_N,6-bladed,6,61.11,1.0,Bacteria,Verrucomicrobia,na,na,Verrucomicrobia,Verrucomicrobia bacterium,Complete,49,57.34265734265734
2,PYL57328.1_#1,DPPIV_N,6-bladed,3,63.64,0.5,Bacteria,Verrucomicrobia,na,na,Verrucomicrobia,Verrucomicrobia bacterium,Complete,27,63.48547717842324
3,TET78008.1_#1,DPPIV_N,6-bladed,6,67.5,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Cloacimonetes bacterium,Complete,8,87.1559633027523
4,WP_020384320.1_#1,DPPIV_N,6-bladed,5,63.41,0.8333333333333334,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium WGA-4E,Complete,2,87.98586572438163
5,RKU11311.1_#1,DPPIV_N,6-bladed,6,62.92,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,83.18318318318319
6,RKU05928.1_#1,DPPIV_N,6-bladed,6,61.93,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,82.70440251572327
7,RKU07382.1_#1,DPPIV_N,6-bladed,6,62.48,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,25,83.23529411764706
8,RKU32370.1_#1,DPPIV_N,6-bladed,6,61.63,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,25,82.46153846153847
9,RKU10729.1_#1,DPPIV_N,6-bladed,6,64.98,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,82.97872340425532
10,RKU05923.1_#1,DPPIV_N,6-bladed,6,62.93,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,25,83.38192419825073
11,RKU05927.1_#1,DPPIV_N,6-bladed,6,63.87,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,83.28075709779179
12,RKU05922.1_#1,DPPIV_N,6-bladed,6,66.29,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,25,82.1875
13,RKU12571.1_#1,DPPIV_N,6-bladed,6,64.1,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,83.52941176470588
14,RKU07240.1_#1,DPPIV_N,6-bladed,6,67.48,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,82.22222222222223
15,RKU10068.1_#1,DPPIV_N,6-bladed,6,63.73,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,83.18318318318319
16,RKU06526.1_#1,DPPIV_N,6-bladed,6,62.73,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,82.6625386996904
17,RKU07379.1_#1,DPPIV_N,6-bladed,6,61.36,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,25,77.70897832817337
18,RKU07380.1_#1,DPPIV_N,6-bladed,5,62.47,0.8333333333333334,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,32,79.64601769911505
19,RKU06605.1_#1,DPPIV_N,6-bladed,5,60.95,0.8333333333333334,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,27,77.71084337349397
20,RKU11315.1_#1,DPPIV_N,6-bladed,6,60.12,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,32,78.2089552238806
21,TMI73925.1_#1,DPPIV_N,6-bladed,5,62.13,0.8333333333333334,Bacteria,na,na,na,Terrabacteria,Terrabacteria group bacterium ANGP1,Complete,1,98.79518072289157
22,PKB64964.1_#1,DPPIV_N,6-bladed,6,69.23,1.0,Bacteria,Chloroflexi,na,na,SAR202,SAR202 cluster bacterium Io17-Chloro-G2,Complete,2,28.01302931596091
23,TKJ28047.1_#1,DPPIV_N,6-bladed,7,62.68,1.1666666666666667,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium B3_Chlor,Complete,1,98.6159169550173
24,KPJ51458.1_#1,DPPIV_N,6-bladed,6,71.59,1.0,Bacteria,Chloroflexi,Dehalococcoidia,na,Dehalococcoidia,Dehalococcoidia bacterium DG_22,Complete,2,92.5
25,WP_126625908.1_#1,DPPIV_N,6-bladed,3,85.71,0.5,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Dictyobacter,Dictyobacter alpinus,Incomplete,151,9.6045197740113
26,KPJ52167.1_#1,DPPIV_N,6-bladed,6,62.59,1.0,Bacteria,Planctomycetes,na,na,Planctomycetes,Planctomycetes bacterium DG_58,Complete,7,90.52631578947368
27,WP_154089403.1_#1,DPPIV_N,6-bladed,4,66.67,0.6666666666666666,Bacteria,Actinobacteria,Actinobacteria,na,Actinobacteria,Actinobacteria bacterium,Complete,15,71.32867132867133
28,WP_154088305.1_#1,DPPIV_N,6-bladed,6,64.75,1.0,Bacteria,Actinobacteria,Actinobacteria,na,Actinobacteria,Actinobacteria bacterium,Complete,2,89.61937716262976
29,GES09163.1_#1,DPPIV_N,6-bladed,6,68.18,1.0,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Acrocarpospora,Acrocarpospora macrocephala,Complete,54,56.33187772925764
30,WP_098270222.1_#1,DPPIV_N,6-bladed,5,77.5,0.8333333333333334,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus anthracis,Complete,6,84.70588235294117
31,WP_098914897.1_#1,DPPIV_N,6-bladed,6,76.55,1.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus cereus,Complete,6,86.91275167785236
32,WP_141545297.1_#1,DPPIV_N,6-bladed,6,76.55,1.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus cereus,Complete,6,63.017031630170315
33,WP_097903142.1_#1,DPPIV_N,6-bladed,6,72.73,1.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus cereus,Complete,6,87.04318936877077
34,PYO60918.1_#1,DPPIV_N,6-bladed,6,61.36,1.0,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Complete,0,89.0728476821192
35,PYP50030.1_#1,DPPIV_N,6-bladed,6,65.51,1.0,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Complete,20,63.48039215686274
36,PYP52556.1_#1,DPPIV_N,6-bladed,6,63.53,1.0,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Complete,49,33.246073298429316
37,PYP58464.1_#1,DPPIV_N,6-bladed,6,62.44,1.0,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Complete,14,83.06188925081433
38,OLC70559.1_#1,DPPIV_N,6-bladed,6,60.49,1.0,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium 13_1_40CM_4_69_8,Complete,3,51.30260521042084
39,PYS90873.1_#1,DPPIV_N,6-bladed,6,74.99,1.0,Bacteria,Acidobacteria,na,na,Acidobacteria,Acidobacteria bacterium,Complete,80,9.287257019438444
40,PYS47239.1_#1,DPPIV_N,6-bladed,4,66.67,0.6666666666666666,Bacteria,Acidobacteria,na,na,Acidobacteria,Acidobacteria bacterium,Complete,62,44.370860927152314
41,WP_031565637.1_#1,DPPIV_N,6-bladed,2,80.56,0.3333333333333333,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Pararheinheimera,Pararheinheimera texasensis,Incomplete,403,8.19981149858624
42,STY64327.1_#1,DPPIV_N,6-bladed,2,80.77,0.3333333333333333,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Mannheimia,Mannheimia haemolytica,Complete,1,27.464788732394368
43,WP_061770619.1_#1,DPPIV_N,6-bladed,2,64.29,0.3333333333333333,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Serratia,Serratia symbiotica SCt-VLC,Incomplete,103,28.837209302325583
44,WP_152568278.1_#1,DPPIV_N,6-bladed,2,80.56,0.3333333333333333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonas,Porphyromonas sp. COT-290 OH3588,Incomplete,29,8.48089468779124
45,WP_107032417.1_#1,DPPIV_N,6-bladed,2,81.67,0.3333333333333333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Duncaniella,Duncaniella muris,Incomplete,30,6.697247706422019
46,KAB2922116.1_#2,DPPIV_N,6-bladed,2,80.77,0.3333333333333333,Bacteria,Bacteroidetes,na,na,Bacteriodetes,Bacteriodetes bacterium,Incomplete,234,9.397944199706314
47,WP_146946899.1_#1,DPPIV_N,6-bladed,3,88.89,0.5,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacterium,Cyclobacterium qasimii,Incomplete,367,4.391582799634035
48,WP_048643284.1_#1,DPPIV_N,6-bladed,3,88.89,0.5,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacterium,Cyclobacterium amurskyense,Incomplete,367,4.391582799634035
49,KYK37375.1_#1,DPPIV_N,6-bladed,5,61.36,0.8333333333333334,Archaea,Euryarchaeota,Theionarchaea,na,Theionarchaea,Theionarchaea archaeon DG-70-1,Complete,1,82.73092369477912
50,PYL96646.1_#1,Peptidase_S9,7-bladed,2,86.36,0.2857142857142857,Bacteria,Verrucomicrobia,na,na,Verrucomicrobia,Verrucomicrobia bacterium,Complete,22,43.51145038167939
51,PYK17804.1_#1,Peptidase_S9,7-bladed,2,80.0,0.2857142857142857,Bacteria,Verrucomicrobia,na,na,Verrucomicrobia,Verrucomicrobia bacterium,Incomplete,190,8.215297450424929
52,RPF85337.1_#1,Peptidase_S9,7-bladed,2,80.77,0.2857142857142857,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Roseibacillus,Roseibacillus sp. TMED18,Complete,154,7.393364928909953
53,TES93528.1_#1,Peptidase_S9,7-bladed,2,71.43,0.2857142857142857,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Cloacimonetes bacterium,Complete,38,41.70040485829959
54,RKU10069.1_#1,Peptidase_S9,7-bladed,6,63.3,0.8571428571428571,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,23,82.0754716981132
